,Technology Platform,Link
217,Android+iOS+Website,"https://netrealty.com/  
https://play.google.com/store/apps/details?id=com.netrealty  
https://apps.apple.com/us/app/netrealty-com/id1475067010"
218,Design + HTML/CSS,https://dearsystems.com/
222,iOS + Android,https://s12solutions.com/
228,iOS + Android,https://apps.apple.com/us/developer/keysight-technologies-inc/id903911491
229,PHP,https://www.guestspeaker.co.za/
240,iOS + Android,"https://inkindpro.com/
Android: https://play.google.com/store/apps/details?id=com.aeldonation

iOS: https://itunes.apple.com/us/app/inkind-pro/id1319738765?ls=1&mt=8"
262,Android+iOS+Website,"https://smashersworld.zuru.com/
https://itunes.apple.com/us/app/smashers/id1314829913?mt=8
https://play.google.com/store/apps/details?id=com.smasher"
263,React Native,"https://itunes.apple.com/us/app/super-one/id1455333818?ls=1&mt=8
https://play.google.com/store/apps/details?id=com.superone"
265,Android,https://bounch.com/
282,Website- Angular + Node,https://www.holoment.com/home
284,React JS+Python,http://askmira.com/
286,ReactJs+NodeJS+GraphQL,http://tammah.com/
287,ReactJS+AWS amplify,https://www.lolo.co/
288,Angular,https://horizon-87d4f.firebaseapp.com/login
289,Flutter+NodeJS,"https://play.google.com/store/apps/details?id=com.social_community
https://apps.apple.com/us/app/from-me/id1481467863"
290,Wordpress,https://www.smartaspelare.se/
291,"React.js, Node.js",https://app.datakb.io/login
292,ReactJS,https://changeup-93296.firebaseapp.com/
293,Wordpress,https://www.tdaministry.org/
294,"Vue.js, NodeJS + NuxtJS",https://orderwithporter.com/
297,Angular + Laravel,https://bricort.com/
298,iOS + Android,"https://www.wearecauli.com/
https://play.google.com/store/apps/details?id=com.caulibox.app
https://apps.apple.com/us/app/caulibox/id1497707992"
299,Flutter + ROR,"https://www.thefittcycle.com/
Android: https://play.google.com/store/apps/details?id=com.fasttracktofit.android&hl=en_IN&gl=US

iOS: https://apps.apple.com/us/app/the-fitt-cycle/id1447634330
"
301,React JS,"https://samprofiles.com/, http://dev.samprofiles.com/login"
308,React Native,https://adhereup.ch/
309,"Android, Kotlin, Firebase",https://play.google.com/store/apps/details?id=com.karadipath.zoomermaster
310,iOS + Android,https://ubacare.com/
311,xamarin,https://plansysteem.online/
313,Android+iOS+Website,https://exchangebees.com/
314,Design and Pitch Deck,"https://mercuryo.io/
https://play.google.com/store/apps/details?id=com.mercuryo.app
https://apps.apple.com/US/app/id1446533733?mt=8"
315,React Native & ReactJs,"https://cuebly.com/
https://play.google.com/store/apps/details?id=com.cuebly.mobile
https://apps.apple.com/tt/app/cuebly/id1604539661"
316,"Flutter, NodeJs, Mysql","https://play.google.com/store/apps/details?id=com.autobus&pli=1  
https://apps.apple.com/gb/app/autobus-complete/id1631485048"
317,Discovery Phase,https://www.socialnative.com/
318,Design,https://www.simplesalon.com/
319,"React.js, Golang, Postgre SQL",https://snug.com/
320,Design,https://www.mindinventory.com/portfolio/co-living-space-finder-app.php
321,"Kotlin, Swift, Sqlite",https://www.mindinventory.com/portfolio/ai-social-chatting-app.php
322,"React.js, Flutter, Node.js",https://www.mindinventory.com/portfolio/video-nft-marketplace.php
323,"Flutter, Angular, MongoDB, Node.js","https://www.gpgolf.ca/
https://www.mindinventory.com/portfolio/golfer-community-app.php"
324,"React Native, Foursquare, Golang",https://www.mindinventory.com/portfolio/dentalcare-app.php
325,Flutter,"https://linksports.com/
https://play.google.com/store/apps/details?id=com.sportsverse.linksports
https://apps.apple.com/us/app/linksports-show-your-game/id1609941954"
326,,https://kwerty.io/
327,,https://www.fareupthere.com/
329,Flutter,https://shoorah.io/
333,Unreal Engine,https://www.rightsizedgames.com/
334,BA Phase,https://dangerfinance.com/
335,,https://everfit.io/
